city,height,name
Denver,1.8257238975210277,Vyoedl
Berkeley,1.4559725442159852,Rzszdn
Denver,1.3378533467904143,Gpvnvc
Denver,1.6179518531347608,Baugss
Denver,1.451144379316358,Bchvae
Denver,1.4612978399290382,Adylyr
Berkeley,1.3077643403471377,Wtuwfx
Denver,1.4816258893741978,Lugthc
Denver,1.2982402043289016,Yehgge
Denver,1.831481753338795,Xivtiy
Berkeley,1.5107555573748581,Axswic
Denver,1.271882172888126,Wiztge
Berkeley,1.5282972472008778,Dumydd
Berkeley,1.270018995609609,Zsmnoq
Denver,1.3362493671154152,Tyakjv
Berkeley,1.517290423894738,Eweguk
Denver,0.9426178509158579,Yjbutw
Berkeley,1.4522755402441168,Dmtfge
Berkeley,1.6287629688163954,Fvench
Denver,1.3817115541467229,Krjaqz
Denver,1.3827711827650053,Jtdtvn
Denver,1.2658175143909984,Rfbvrq
Denver,1.5871111264789455,Vcrdtb
Denver,0.9557651727064702,Beqvhw
Denver,1.144601189492712,Rbzwpv
Berkeley,1.4614637932621273,Etmuej
Berkeley,2.057014743684787,Cfjhji
Denver,1.6413190233555395,Eswhdo
Denver,1.3185366107760903,Exwveq
Berkeley,1.190198416286797,Wermto
Denver,1.7287135001424614,Icgeoy
Denver,1.2073069461676953,Zzroqn
Denver,1.5037534944095023,Xmomqp
Berkeley,1.3091043242386764,Eitclm
Denver,1.2259175768637427,Exjzru
Denver,1.4625659988672328,Lnoart
Denver,1.1977978805556633,Ezqqtq
Denver,1.8197120811405978,Egxcvg
Denver,1.4738423543096602,Vywagm
Berkeley,1.2633577581033664,Umkeeb
Berkeley,1.221895127877671,Wdwwlh
Denver,1.5339131365493244,Jqgkpw
Denver,1.5679093038288079,Jqwwvm
Berkeley,1.5682468129001956,Qkewnd
Denver,1.2176947877572797,Eacbar
Denver,1.314926630531204,Lynogg
Denver,1.1400918943939053,Cffmrb
Berkeley,1.7547577777496217,Wbvlrr
Denver,1.822736366493874,Zannmm
Berkeley,1.7237473258041422,Iejyae
Berkeley,1.4674844916588317,Ntpgnc
Denver,1.525064289057678,Agndwv
Berkeley,1.225135030850675,Humxcl
Denver,1.6179207124483914,Wajvhs
Berkeley,1.639960955742201,Qscnqy
Denver,1.7534581770976465,Hiuaya
Denver,1.1028564067305884,Dcjlpo
Berkeley,1.3827179700806222,Dgeqzy
Denver,1.057542093913964,Bzaiom
Denver,1.580983417366679,Vbbxpl
Berkeley,1.7793492412832925,Obpegi
Berkeley,1.6578146007730548,Ikvvpi
Denver,1.6186392184320768,Megltq
Berkeley,1.2659579154040914,Pduusy
Berkeley,1.103146465134351,Imvtse
Denver,1.8634973060263864,Utgcbd
Denver,1.1933777555877625,Vlfyfu
Denver,1.4518693278286212,Jacbvy
Denver,1.284786510388457,Mebtxk
